threshold,scale_pos_weight,num_leaves,max_depth,subsample,colsample_bytree,min_child_samples,min_child_weight,reg_alpha,reg_lambda,AUC,F1_score,Recall,Precision,Avg_Best_Iteration
0.33,1.6,6,5,0.4,0.45,50,0.02,0.0,0.7,0.8564461761242909,0.4582002524812744,0.7473790317960032,0.33038756702870226,683.6
0.33,2.2,7,19,0.2,0.55,80,0.005,0.0,0.5,0.854033406926671,0.453592685661953,0.8088902402162669,0.3152094044662869,304.2
0.25,1.6,8,11,0.3,0.55,60,0.0,0.001,1.0,0.856369523070206,0.45223774996098565,0.853708566048969,0.30759727595422853,442.8
0.3,1.4,3,19,0.15,0.65,90,0.001,0.001,0.1,0.8558945791728558,0.4564827311503268,0.7545147533628062,0.32724459868078415,937.8
0.15,1.8,5,7,0.3,0.65,90,0.02,0.005,1.0,0.8563180138557775,0.4162192072228777,0.9625345587971286,0.2655184667159921,655.4
0.1,2.2,5,5,0.15,0.55,60,0.0,0.005,1.0,0.852580834226063,0.3901155883298843,0.986369758311873,0.243192222957354,317.4
0.15,1.8,5,21,0.15,0.55,80,0.005,0.005,0.7,0.8564891893690607,0.41631714218066945,0.9617497109118582,0.26566402847900716,685.8
0.2,1.4,3,15,0.2,0.35,50,0.005,0.0,0.5,0.8559233534553281,0.4438163613674714,0.8908164317674319,0.29553494825823096,997.0
0.15,2.0,7,15,0.4,0.35,60,0.0,0.005,0.3,0.8565157883660544,0.41220376733612074,0.9674586701359791,0.2618953670129796,625.4
0.3,1.4,5,21,0.4,0.45,110,0.001,0.0,0.5,0.8561327050323719,0.45791316467078813,0.751517658631786,0.32928511531296456,665.0
0.2,1.4,5,9,0.42,0.45,60,0.005,0.005,0.7,0.8563508315546267,0.44579194782297177,0.8861067842321486,0.29781889814839724,739.8
0.3,1.6,4,7,0.15,0.6,50,0.001,0.005,0.5,0.8562008502951561,0.4575819806754017,0.7946208087949003,0.32131233611375787,689.6
0.25,1.6,5,7,0.42,0.35,110,0.0,0.001,0.3,0.8565640496915595,0.4529567923548992,0.8557781341139796,0.3079975523807815,717.8
0.15,2.0,5,11,0.15,0.45,50,0.001,0.001,0.5,0.8562560884004592,0.41244694454042874,0.9668163482431769,0.2621389545455227,803.8
