threshold,scale_pos_weight,num_leaves,max_depth,subsample,colsample_bytree,min_child_samples,min_child_weight,reg_alpha,reg_lambda,AUC,F1_score,Recall,Precision,Avg_Best_Iteration
0.25,1.8,5,21,0.15,0.35,150,0.004,0.001,1.0,0.8566298578218488,0.44794865909401216,0.8799696868069621,0.3004559479859651,758.0
0.25,1.2,8,21,0.15,0.45,105,0.003,0.0,0.5,0.856085284669922,0.4574702880961684,0.7804906693475916,0.3235728166287692,447.0
0.25,1.4,5,5,0.2,0.45,45,0.0005,0.003,5.0,0.8562893604217511,0.4567061524761374,0.8245212952472917,0.3158282094533805,765.4
0.15,1.8,5,9,0.3,0.45,60,0.002,0.004,5.0,0.856312472774125,0.4161366782198758,0.9616070830605427,0.2655222563954449,751.8
0.35,1.6,5,21,0.2,0.35,120,0.008,0.002,2.0,0.8566384449812317,0.45608665926834374,0.7052745057745055,0.33702811925922005,770.0
0.35,1.6,4,11,0.2,0.25,105,0.0005,0.004,2.5,0.8557017140528714,0.45569293416205936,0.7108410154002938,0.3353635472535909,887.6
0.2,1.8,5,5,0.15,0.25,75,0.0005,0.0,5.0,0.8560114452632483,0.432659804394355,0.9289947066503388,0.28200496176215384,810.6
0.25,1.0,8,11,0.25,0.4,75,0.004,0.001,3.5,0.8562431181531508,0.4551810928494815,0.711412087029218,0.33467024846281823,503.2
0.35,1.8,7,11,0.3,0.4,75,0.0005,0.0,3.5,0.8562223954191113,0.45781073422642915,0.7540867679500118,0.3286965432169235,644.2
0.3,1.4,7,17,0.3,0.25,45,0.0005,0.003,3.5,0.8558649730704888,0.45647861249738053,0.7473071958437517,0.32861972536298223,530.6
0.25,1.0,5,11,0.2,0.45,135,0.001,0.003,1.0,0.8563707470391329,0.4567059184960316,0.7171208425356437,0.33506727101798117,730.8
0.25,1.6,5,7,0.3,0.45,45,0.0005,0.004,5.0,0.8564031558529596,0.4527326048654737,0.8523527229289105,0.3082324010985235,806.8
0.15,1.0,5,9,0.3,0.4,135,0.001,0.003,0.5,0.8563241886521336,0.4450495266401096,0.8886755879738313,0.2968709951677817,691.0
0.2,1.6,4,17,0.25,0.4,90,0.003,0.004,3.5,0.8563417190231505,0.439483214605694,0.9120823691756794,0.28949144839767216,828.8
0.3,1.2,5,13,0.2,0.25,165,0.008,0.004,0.5,0.8562121907481014,0.4542240130059124,0.682010632535804,0.3405594080966968,778.0
0.25,1.0,4,19,0.35,0.45,60,0.0005,0.004,0.5,0.8563846342921589,0.4570571935150266,0.7196898754597335,0.33487445291833506,835.6
0.2,1.0,8,7,0.2,0.4,45,0.004,0.001,2.5,0.8561058176873975,0.45600003170439846,0.8111766148383385,0.3171496739600242,440.6
0.35,1.0,8,7,0.3,0.45,165,0.004,0.002,1.5,0.8561931489998733,0.3382708353220372,0.2964403133891163,0.39413346326510557,438.8
0.2,1.4,5,13,0.3,0.3,90,0.003,0.002,5.0,0.8566047737826701,0.4454386681012762,0.8880334697987244,0.29728744356256315,672.6
0.15,1.0,7,7,0.15,0.45,75,0.004,0.002,1.0,0.8561876964197472,0.4440765913134229,0.8886757152973909,0.29600217043011734,516.4
0.25,1.0,5,15,0.25,0.3,135,0.004,0.002,2.5,0.8565530902061467,0.45721378183260375,0.7136238500454418,0.3363850691477658,733.2
0.35,1.0,9,21,0.25,0.25,60,0.002,0.0,0.5,0.8559561335615313,0.3374365587771995,0.29501271071094165,0.39429031438481527,472.6
0.35,1.2,6,13,0.35,0.3,105,0.001,0.002,2.5,0.8564882666574682,0.41815983859042216,0.48812145037831645,0.3658131478827108,583.2
0.3,1.4,4,7,0.3,0.35,30,0.0005,0.002,5.0,0.8563254043957732,0.4574970626420994,0.7482346715803375,0.32948931336960624,880.8
0.2,1.4,5,19,0.35,0.4,150,0.0005,0.0,0.5,0.8563666661956673,0.44639331871278715,0.8861068096968605,0.2983582041703787,692.6
0.2,1.8,4,15,0.35,0.45,60,0.003,0.001,0.5,0.8562877290447052,0.4327867719795805,0.9279243229506063,0.2822090140309328,887.4
0.25,1.4,4,15,0.2,0.3,45,0.002,0.004,5.0,0.856270234700494,0.4563261224462444,0.825092086764385,0.3153826520125746,833.2
