threshold,scale_pos_weight,num_leaves,max_depth,subsample,colsample_bytree,min_child_samples,min_child_weight,reg_alpha,reg_lambda,AUC,F1_score,Recall,Precision,Avg_Best_Iteration
0.25,1.6,7,19,0.05,0.3,30,0.01,0.002,1.0,0.8565483651546086,0.45266455479545564,0.853994152792855,0.30796006341923954,634.8
0.2,1.2,5,21,0.4,0.35,120,0.002,0.002,6.0,0.8565187467183053,0.4524359395729796,0.8554213989650632,0.3075601888817473,682.2
0.2,1.0,7,21,0.1,0.25,150,0.0005,0.0,2.0,0.8558857502059498,0.456160043686456,0.8118906708245449,0.3171943128452925,517.8
0.2,1.6,7,19,0.2,0.55,30,0.002,0.003,0.5,0.8563878302893746,0.4383479771915698,0.9102269084082696,0.288697538193331,476.0
0.3,1.4,7,13,0.35,0.6,60,0.003,0.002,2.0,0.8564015334982166,0.4585714501830888,0.7476640837809393,0.33071934873631853,474.0
0.15,1.8,9,21,0.05,0.5,30,0.0005,0.004,6.0,0.8564876907189246,0.41747307071770956,0.9601798114236224,0.26672986553382877,507.8
0.35,1.8,5,5,0.45,0.3,60,0.001,0.004,1.0,0.856597894449133,0.4580246498116168,0.7545862073443794,0.3288135636189731,772.0
0.2,1.6,4,11,0.05,0.3,120,0.008,0.002,2.0,0.8564021712375723,0.43892347634021434,0.9125815793876398,0.2889532198357335,843.4
0.25,1.2,6,17,0.15,0.45,135,0.008,0.0,0.5,0.8562505062934876,0.4566250437857267,0.7802055409685197,0.322773173869629,582.8
0.3,1.8,8,7,0.1,0.4,150,0.004,0.001,3.5,0.856269066469735,0.4567745287004385,0.823451217124102,0.316057129771819,463.8
0.15,1.2,6,13,0.15,0.6,150,0.004,0.004,0.5,0.8564886003987937,0.43521076976213446,0.9199319430109935,0.2850325053739682,472.2
0.35,1.4,9,7,0.15,0.45,45,0.001,0.004,1.5,0.856338132164483,0.4447500539020878,0.6258489489312843,0.34497596113868145,454.2
0.25,1.4,8,11,0.3,0.4,90,0.015,0.002,0.5,0.8562503539338613,0.455511758191457,0.8221667006620571,0.3150315648803354,491.8
0.15,1.6,6,5,0.05,0.5,60,0.004,0.001,6.0,0.8566968769339642,0.4216558408965917,0.9518306454056693,0.2708181023103828,632.8
0.35,1.6,8,5,0.1,0.3,60,0.0005,0.002,1.5,0.8566367267847992,0.45719608147703916,0.7062739957163261,0.33803495030796904,489.0
