threshold,scale_pos_weight,num_leaves,max_depth,subsample,colsample_bytree,min_child_samples,min_child_weight,reg_alpha,reg_lambda,AUC,F1_score,Recall,Precision,Avg_Best_Iteration
0.3,1.6,9,5,0.15,0.3,120,0.002,0.0,1.0,0.8566292132723531,0.4576315288593723,0.7842015908824107,0.32309970668925836,496.0
0.2,1.2,8,19,0.2,0.36,60,0.002,0.003,1.0,0.8565339053155114,0.45235077695856846,0.855635226150833,0.30745555215371956,467.8
0.15,1.6,8,7,0.15,0.38,30,0.0005,0.001,1.0,0.8561739787221386,0.4199788526870073,0.9554696800588133,0.2691449103206324,401.0
0.3,1.6,7,11,0.3,0.3,60,0.003,0.0,2.0,0.8566560998862929,0.45763130848402955,0.7862711334827093,0.32274934088091717,610.8
0.25,1.6,6,17,0.35,0.36,60,0.001,0.002,1.0,0.8566814939959013,0.45300499590100374,0.8549931589051496,0.30814217424522794,612.8
0.15,1.8,9,21,0.15,0.34,30,0.0005,0.004,2.0,0.8566918020555108,0.4164908108663846,0.9611789957889005,0.26584708546568414,600.6
0.35,1.8,5,5,0.35,0.3,60,0.0005,0.004,0.5,0.8566932600138054,0.45773268113628296,0.7541581455374493,0.3285976679933691,764.6
0.2,1.6,4,11,0.35,0.38,30,0.004,0.0,2.0,0.8563299587936182,0.4390196743637393,0.9118680836250952,0.2891116425289831,859.2
0.35,1.8,8,15,0.25,0.32,105,0.001,0.002,2.0,0.8566915683161647,0.4572732629654433,0.7488768406848684,0.32913556265834315,569.2
0.2,1.4,7,15,0.15,0.3,135,0.004,0.004,0.5,0.8567013979056688,0.44580952175322325,0.8891037007101854,0.29749769184589514,546.2
0.15,1.8,5,21,0.25,0.32,105,0.0005,0.001,1.5,0.8566142225630411,0.41577341514730826,0.9628915740578756,0.26512761278725083,782.6
0.25,1.2,7,21,0.25,0.38,150,0.0005,0.004,1.5,0.8561910417799774,0.45673888307464117,0.7793488825957097,0.32303386676032747,568.0
0.15,1.2,6,7,0.15,0.38,60,0.002,0.002,2.5,0.8561939197003918,0.43429895638442373,0.9212877606663403,0.284123055922631,538.8
0.2,1.4,5,13,0.35,0.36,90,0.0005,0.0,2.0,0.8565221208392222,0.445790005819967,0.8874625254933596,0.29766991099464624,746.4
0.25,1.0,4,15,0.2,0.34,60,0.003,0.004,2.0,0.8563210425790064,0.4562200480232196,0.7130532622460436,0.33542827653821594,833.6
0.35,1.0,4,7,0.2,0.38,30,0.002,0.004,2.5,0.8561405980861588,0.3330835217919153,0.2892328577289093,0.39281125798910843,804.6
0.2,1.6,5,5,0.25,0.34,30,0.002,0.001,1.0,0.8564218598043978,0.43861753027676764,0.911154511468415,0.2888380174465145,724.2
0.15,1.4,8,17,0.35,0.32,75,0.001,0.001,2.0,0.856671935390047,0.4264312772671709,0.9408408396937817,0.27569874675533235,513.4
0.15,1.2,9,15,0.3,0.32,90,0.001,0.0,2.0,0.8565989970214776,0.4343517702950326,0.9222869450316182,0.2840738596515683,412.2
0.15,1.6,5,11,0.3,0.34,90,0.001,0.001,0.5,0.8564634362881683,0.42035557238732624,0.9556125880219598,0.26944207563531297,696.0
0.2,1.6,6,13,0.15,0.34,105,0.004,0.003,2.5,0.856322645528779,0.43781955961841595,0.9127958904029357,0.28798104720522905,499.4
0.25,1.0,4,13,0.2,0.38,90,0.0005,0.0,2.5,0.8562193918305638,0.4573959605032375,0.7215451834388718,0.33485103021955676,798.2
0.3,1.4,9,15,0.3,0.38,150,0.0005,0.003,2.5,0.8563993892783086,0.45779810889017264,0.7463083170550162,0.33017626069156775,457.6
0.2,1.4,4,17,0.15,0.38,150,0.001,0.002,2.0,0.8562183268302686,0.44509836705815536,0.8862494120834642,0.2971803119689713,774.0
0.15,1.4,8,15,0.15,0.34,150,0.002,0.003,1.5,0.8567944996954273,0.42694676645803364,0.9407696148946154,0.276135960421685,490.6
0.3,1.4,8,9,0.2,0.36,120,0.001,0.004,2.5,0.856630367068543,0.4579245110835145,0.7420263238912728,0.33115951421034184,468.2
0.25,1.6,8,5,0.25,0.34,75,0.003,0.004,2.5,0.8566102877725974,0.45361341412363,0.8543507860829237,0.30879274153944003,536.0
0.25,1.6,7,19,0.2,0.38,135,0.001,0.0,1.5,0.8562408473354729,0.45183658491225775,0.8528524933645327,0.30734326367052167,517.2
0.35,1.8,6,7,0.2,0.34,75,0.001,0.001,0.5,0.8566480471205139,0.457921805404742,0.7524454144802029,0.32912163152200913,735.0
0.15,1.2,7,7,0.3,0.36,165,0.001,0.003,2.0,0.8566501882698019,0.43521116134160753,0.9209309236585763,0.28493698748322227,535.2
0.3,1.2,5,5,0.15,0.36,75,0.001,0.004,2.0,0.8565909252547457,0.4534316014831418,0.6780859602093504,0.34063012296279455,730.2
0.15,1.8,5,7,0.3,0.32,135,0.004,0.004,2.5,0.8567176216607271,0.41601807222302156,0.9628915740578756,0.26533045041353975,753.2
0.25,1.6,8,21,0.3,0.38,135,0.001,0.003,2.0,0.8563081768378723,0.4517346580638983,0.8527809884535357,0.30725611168253864,523.8
0.25,1.2,9,13,0.35,0.36,75,0.002,0.003,0.5,0.8566605457647387,0.457705928896297,0.7746389040191719,0.32482622673118444,418.8
0.25,1.2,6,15,0.25,0.38,45,0.001,0.001,1.0,0.8563148235642123,0.45695437070586903,0.7796345711984431,0.32320148215089645,635.4
0.3,1.2,9,11,0.15,0.36,120,0.002,0.004,2.0,0.8566919884890632,0.4533829899830586,0.6745177429199825,0.3414759163601842,424.2
0.3,1.0,5,17,0.3,0.38,30,0.004,0.003,2.0,0.8562929202101515,0.43076628106415765,0.542712877988634,0.3571339606802762,750.2
0.15,1.4,6,17,0.3,0.38,150,0.004,0.001,2.0,0.8563581180651321,0.42669405383961845,0.9396989001536287,0.27601843885067373,577.0
0.2,1.4,7,19,0.15,0.36,105,0.003,0.001,2.0,0.856600670763487,0.4457325031841914,0.8888897716655679,0.29745492194043477,515.2
0.2,1.8,8,5,0.3,0.38,165,0.0005,0.0,2.0,0.8562217936115115,0.43207623060469996,0.9258545766326127,0.28179927486803197,524.0
0.2,1.6,5,5,0.25,0.36,105,0.001,0.003,1.5,0.8565498764353467,0.4393445520825764,0.9114399454240294,0.28943660800945414,782.8
