threshold,scale_pos_weight,num_leaves,max_depth,subsample,colsample_bytree,min_child_samples,min_child_weight,reg_alpha,reg_lambda,AUC,F1_score,Recall,Precision,Avg_Best_Iteration
0.3,1.2,6,15,0.25,0.4,120,0.001,0.001,1.0,0.8562073614895196,0.45313952643123956,0.683081118094384,0.3390551687306925,534.2
0.28,1.0,8,19,0.15,0.3,50,0.0005,0.004,1.25,0.8565380399874458,0.4459889090112042,0.6209968517976685,0.34796230061389605,430.2
0.35,1.4,5,3,0.25,0.2,70,0.0005,0.004,0.5,0.8549489605658389,0.4447633326557582,0.6257770365848969,0.3450046710469903,836.2
0.28,1.2,4,21,0.15,0.4,140,0.0005,0.004,0.5,0.8562699962968432,0.457654959273251,0.7331061881032431,0.3326857215422886,709.4
0.32,1.4,8,21,0.25,0.3,90,0.001,0.002,0.75,0.8564108340626181,0.4567310326451576,0.706559353277805,0.33743708958087815,439.6
0.3,1.2,5,11,0.2,0.3,60,0.0005,0.003,1.5,0.8565987267097466,0.45296179195981107,0.6756600135013903,0.3406885229238424,769.6
0.35,1.0,4,19,0.15,0.4,90,0.001,0.002,0.5,0.8563427543935808,0.33548519615375766,0.2934423019284681,0.39172093154515436,855.8
0.28,1.2,6,7,0.2,0.4,90,0.0005,0.004,1.0,0.8562801756334035,0.45687750808046046,0.7255415898587294,0.3334368434991827,626.4
0.25,1.0,6,5,0.15,0.4,70,0.0015,0.002,1.5,0.8562679118320675,0.45601246158826675,0.7156934945045879,0.3346285852909528,562.6
0.28,1.4,6,9,0.25,0.3,130,0.002,0.002,0.5,0.856605378668211,0.4570732406468081,0.7753527308229711,0.3240659432238472,628.6
0.25,1.4,7,11,0.15,0.2,100,0.001,0.002,0.75,0.8552299434585524,0.4546104142731382,0.8263054293566876,0.31356870560398653,638.0
0.32,1.4,9,15,0.25,0.2,60,0.0005,0.001,1.5,0.8553819617511103,0.45357692962185225,0.7028484062782738,0.33486049857561556,498.4
0.25,1.2,8,19,0.15,0.35,70,0.0005,0.002,1.0,0.8565301465564987,0.4575042342018527,0.7741393118365328,0.32471046458381414,447.6
0.25,1.2,5,9,0.25,0.2,100,0.002,0.004,2.0,0.8551783300699878,0.4556391342893857,0.783844753874647,0.3211738591150759,817.4
0.28,1.0,5,7,0.2,0.2,70,0.0015,0.003,2.0,0.8551541753141914,0.4443769467696802,0.6182125911286546,0.3468680409507229,828.2
0.28,1.2,5,5,0.2,0.2,120,0.001,0.001,1.25,0.8550570822890456,0.456140609325844,0.7283248319392677,0.3320619619230106,760.4
0.3,1.2,5,9,0.15,0.25,110,0.0015,0.002,0.5,0.855912766336678,0.45256753338934474,0.6790846098156789,0.33940290205834067,791.2
0.3,1.2,9,19,0.2,0.4,100,0.0005,0.0,1.0,0.8562185105510934,0.4523978334097668,0.6782285371312422,0.339430302015537,425.2
0.28,1.4,6,3,0.15,0.4,110,0.0015,0.002,1.25,0.8563343320165583,0.4573915470860337,0.7813470476085707,0.3233457516490633,660.6
0.35,1.4,4,15,0.25,0.25,90,0.0005,0.003,0.5,0.8557328169800481,0.44467915905551025,0.6243501978480791,0.34533630496609213,935.8
0.35,1.4,9,9,0.2,0.35,60,0.0015,0.004,1.0,0.8565672621798768,0.44551962911438636,0.623279966936618,0.34666679305952064,427.2
0.25,1.4,6,19,0.2,0.35,100,0.002,0.002,1.5,0.8566911157635969,0.45671637472655036,0.8220234871223677,0.3162070559627524,610.4
0.28,1.0,7,15,0.25,0.25,140,0.0015,0.003,1.5,0.8560467594892062,0.44345210023730186,0.6138602644306612,0.3471181465586805,521.0
0.25,1.2,6,9,0.2,0.4,140,0.0015,0.003,1.25,0.8561771422069542,0.4566184598079749,0.780633551846026,0.32269843303278783,548.4
0.32,1.4,5,19,0.2,0.25,60,0.0015,0.004,2.0,0.8556438276967168,0.4566052153489727,0.7164781896015868,0.3351020378385792,661.6
0.35,1.2,4,9,0.25,0.3,80,0.001,0.001,0.5,0.8563142199478195,0.4187212681962227,0.48983418143556295,0.3657120418996336,868.4
0.25,1.0,7,21,0.15,0.35,110,0.001,0.003,1.25,0.8565212372242381,0.45743537996106437,0.71076968874228,0.3372687829203096,491.2
0.32,1.0,5,3,0.15,0.35,80,0.001,0.004,1.25,0.8564258069867782,0.40241090020718956,0.4373100809956091,0.37270504884341016,660.8
0.25,1.4,5,5,0.2,0.25,120,0.0015,0.003,1.5,0.85593942796487,0.455501842325711,0.82823247142923,0.3141405646148544,789.8
0.35,1.2,8,17,0.15,0.35,120,0.0015,0.001,2.0,0.8566348383526605,0.4172576768338624,0.48605162766618715,0.3656074363753001,457.2
0.3,1.4,7,9,0.2,0.35,60,0.0015,0.001,1.0,0.8566138303088071,0.4585251003240674,0.7433108403533178,0.33153079175843825,588.0
0.3,1.2,8,5,0.15,0.25,80,0.002,0.001,2.0,0.8558665767752334,0.4523833124558638,0.6736610081530369,0.34055167762317756,535.6
0.28,1.0,7,15,0.2,0.4,120,0.002,0.0,0.75,0.8561946489102145,0.44490229935897335,0.6216387153256567,0.34645380446075824,464.8
0.32,1.2,8,3,0.25,0.35,120,0.0005,0.002,1.0,0.8564428804997111,0.44364220382436664,0.6138597296717114,0.3473581917769364,543.6
0.32,1.2,8,19,0.25,0.25,120,0.001,0.002,1.25,0.8559961620360788,0.4422266628475067,0.6067957931277363,0.3479162073828247,550.0
0.32,1.0,7,13,0.25,0.35,70,0.002,0.001,1.5,0.8565037336837422,0.4018874635326772,0.43752462119331204,0.37167091264049573,532.8
0.35,1.0,7,21,0.25,0.2,60,0.002,0.001,1.25,0.855156706171836,0.3269626720237647,0.28152586081548703,0.39009785107646167,593.2
