threshold,scale_pos_weight,num_leaves,max_depth,subsample,colsample_bytree,min_child_samples,min_child_weight,reg_alpha,reg_lambda,AUC,F1_score,Recall,Precision,Avg_Best_Iteration
0.33,1.6,6,3,0.4,0.6,135,0.001,0.1,0.0,0.8565186647121088,0.4573244707812747,0.7433821160819077,0.33026369678376727,633.0
0.4,1.6,6,6,0.6,0.6,135,0.001,0.01,0.1,0.8564626221065181,0.4357049708603132,0.5666902979193038,0.35393129014131586,480.6
0.36,2.0,3,18,0.6,0.7,90,0.01,0.01,0.0,0.855936291961223,0.45645715044151985,0.7802054391096722,0.32260737014650903,966.4
0.36,2.0,4,3,0.4,0.75,135,0.1,0.0,0.0,0.8564733153911515,0.4570698251339379,0.7772084717022116,0.32373543151272993,945.8
0.33,2.6,4,6,0.5,0.6,90,0.01,0.01,0.0,0.8449273335209877,0.44685631364560213,0.79105269336438,0.3113791536726679,26.6
0.4,2.6,7,9,0.6,0.6,135,0.01,0.1,0.0,0.8511576455251462,0.44359787817697116,0.6469701958465527,0.3376141142820853,26.4
0.33,2.0,2,3,0.6,0.65,105,0.01,0.1,0.0,0.8522689048468152,0.45084807179776015,0.8053958451266781,0.3130526152917838,999.0
0.36,1.6,7,18,0.5,0.75,105,0.001,0.0,0.1,0.8564211426736776,0.4537140487820711,0.6897180878140403,0.33806438271892847,428.6
0.4,2.0,2,3,0.5,0.65,105,0.001,0.1,0.01,0.852271311371901,0.4520325218893254,0.7358900413368668,0.32621927992785593,999.2
0.4,2.6,2,3,0.4,0.65,135,0.001,0.01,0.1,0.8190651041411551,0.0,0.0,0.0,21.8
0.33,2.0,3,3,0.5,0.7,75,0.01,0.0,0.1,0.8559581241073533,0.4555626021785882,0.816314553362959,0.31594768189878963,990.0
0.33,2.6,2,9,0.6,0.75,135,0.1,0.0,0.0,0.8178581009120055,0.4275658679048678,0.8637701066182022,0.28409756259264063,22.6
0.33,1.6,5,3,0.4,0.7,120,0.1,0.1,0.0,0.8562800938869899,0.4572910727789751,0.7485204111124948,0.32922240880387277,597.6
0.36,1.6,8,18,0.4,0.75,75,0.01,0.0,0.0,0.8564863328236225,0.4539900405211322,0.6868633917519289,0.33905747546314957,413.4
0.4,2.0,4,6,0.4,0.6,90,0.01,0.01,0.01,0.8563214494387502,0.45706639934123966,0.7155509175826961,0.335793755193177,826.4
0.3,2.0,4,18,0.6,0.75,135,0.01,0.0,0.0,0.8564733153911515,0.45360173210377025,0.846286875767602,0.30984434224088747,945.8
0.36,1.6,6,9,0.4,0.6,135,0.01,0.01,0.1,0.8564626221065181,0.454063667956692,0.6882905615300013,0.33880516372478436,480.6
0.36,2.0,6,15,0.4,0.75,135,0.001,0.01,0.0,0.8563688767928879,0.4568121403679224,0.7747106890419997,0.3239177431691564,552.8
